date,CDU,CSU,AFD,SPD,GP,LP,FDP
2017-01-01,0.0,2856.0,19997.0,0.0,0.0,0.0,5012.0
2017-01-02,2535.0,46417.0,5973.0,1822.0,1886.0,0.0,1042.0
2017-01-03,0.0,13990.0,8299.0,365.0,389.0,1801.0,269.0
2017-01-04,151.0,5500.0,2458.0,2853.0,459.0,3815.0,1277.0
2017-01-05,1753.0,8956.0,10340.0,836.0,0.0,0.0,566.0
2017-01-06,613.0,1549.0,9188.0,958.0,306.0,0.0,6382.0
2017-01-07,161.0,619.0,7423.0,980.0,332.0,0.0,1197.0
2017-01-08,822.0,0.0,10964.0,318.0,0.0,1650.0,0.0
2017-01-09,860.0,3928.0,10395.0,921.0,139.0,1839.0,461.0
2017-01-10,2086.0,5294.0,15022.0,705.0,415.0,0.0,851.0
2017-01-11,0.0,1774.0,808.0,984.0,1681.0,0.0,207.0
2017-01-12,1202.0,13554.0,10742.0,504.0,594.0,1115.0,489.0
2017-01-13,775.0,101.0,8370.0,3644.0,2523.0,418.0,694.0
2017-01-14,518.0,417.0,13804.0,438.0,529.0,1176.0,0.0
2017-01-15,526.0,1030.0,3141.0,433.0,0.0,5155.0,0.0
2017-01-16,733.0,3398.0,6399.0,1783.0,326.0,1732.0,1543.0
2017-01-17,828.0,480.0,6830.0,4810.0,255.0,197.0,443.0
2017-01-18,1957.0,12286.0,10407.0,4620.0,4899.0,2043.0,1011.0
2017-01-19,503.0,1099.0,3811.0,2372.0,990.0,1036.0,696.0
2017-01-20,1560.0,5297.0,2422.0,2869.0,1571.0,2399.0,664.0
2017-01-21,837.0,430.0,5774.0,2565.0,2796.0,1759.0,0.0
2017-01-22,0.0,768.0,0.0,2069.0,0.0,28.0,979.0
2017-01-23,214.0,1565.0,552.0,1362.0,2459.0,1189.0,2121.0
2017-01-24,773.0,2642.0,1451.0,435.0,1508.0,1062.0,1405.0
2017-01-25,739.0,3255.0,4639.0,2854.0,2808.0,0.0,1273.0
2017-01-26,1000.0,9056.0,9054.0,6087.0,251.0,2649.0,668.0
2017-01-27,1061.0,566.0,4764.0,9056.0,1702.0,1671.0,530.0
2017-01-28,0.0,1077.0,5607.0,2507.0,0.0,446.0,642.0
2017-01-29,0.0,0.0,11190.0,11617.0,2604.0,122.0,141.0
2017-01-30,229.0,1049.0,5241.0,3689.0,5182.0,964.0,1755.0
2017-01-31,0.0,1510.0,5965.0,1561.0,1180.0,3232.0,1123.0
2017-02-01,259.0,6880.0,9559.0,1797.0,292.0,756.0,794.0
2017-02-02,1105.0,1003.0,5754.0,1481.0,921.0,386.0,1854.0
2017-02-03,1514.0,1469.0,7244.0,1911.0,430.0,1096.0,546.0
2017-02-04,818.0,401.0,8673.0,1876.0,5454.0,0.0,1835.0
2017-02-05,1245.0,5373.0,0.0,1100.0,0.0,879.0,1797.0
2017-02-06,805.0,4665.0,11510.0,953.0,3714.0,2583.0,1720.0
2017-02-07,325.0,958.0,8951.0,0.0,0.0,0.0,1223.0
2017-02-08,1426.0,602.0,6133.0,3359.0,1180.0,3697.0,439.0
2017-02-09,989.0,2359.0,12336.0,123.0,793.0,1087.0,1579.0
2017-02-10,2673.0,2006.0,8491.0,2645.0,1128.0,494.0,1756.0
2017-02-11,0.0,363.0,5241.0,0.0,2371.0,371.0,1461.0
2017-02-12,0.0,245.0,15424.0,4994.0,10512.0,3560.0,1880.0
2017-02-13,454.0,5570.0,3105.0,2102.0,342.0,145.0,377.0
2017-02-14,282.0,3078.0,7659.0,1295.0,569.0,1011.0,773.0
2017-02-15,0.0,5209.0,11396.0,415.0,2515.0,676.0,2490.0
2017-02-16,1251.0,4984.0,5058.0,1158.0,1063.0,3731.0,3609.0
2017-02-17,1102.0,1062.0,4876.0,1763.0,478.0,6743.0,2031.0
2017-02-18,0.0,6540.0,5597.0,564.0,1748.0,328.0,312.0
2017-02-19,0.0,1592.0,4834.0,1390.0,3244.0,926.0,443.0
2017-02-20,468.0,10309.0,5619.0,2311.0,738.0,1590.0,3640.0
2017-02-21,3506.0,23334.0,4117.0,2692.0,945.0,0.0,1634.0
2017-02-22,1539.0,2652.0,13867.0,1624.0,538.0,1652.0,1247.0
2017-02-23,1116.0,12781.0,15437.0,746.0,400.0,881.0,3373.0
2017-02-24,326.0,3827.0,6622.0,2247.0,1739.0,1128.0,2148.0
2017-02-25,0.0,289.0,3107.0,1816.0,345.0,569.0,1125.0
2017-02-26,0.0,2619.0,4488.0,993.0,0.0,0.0,1587.0
2017-02-27,1558.0,5266.0,5828.0,565.0,1670.0,427.0,1265.0
2017-02-28,1324.0,5073.0,9150.0,2486.0,2483.0,2185.0,2713.0
2017-03-01,1289.0,6791.0,3229.0,2198.0,1032.0,979.0,1912.0
2017-03-02,1884.0,1463.0,6088.0,2352.0,1983.0,4518.0,3989.0
2017-03-03,616.0,7714.0,9875.0,566.0,1075.0,1055.0,2541.0
2017-03-04,466.0,2166.0,3597.0,1158.0,573.0,366.0,563.0
2017-03-05,652.0,135.0,0.0,886.0,1670.0,1250.0,251.0
2017-03-06,575.0,7041.0,13304.0,1002.0,2854.0,574.0,2579.0
2017-03-07,990.0,7104.0,7554.0,3040.0,1809.0,516.0,1651.0
2017-03-08,441.0,1090.0,3322.0,1493.0,1546.0,1876.0,4753.0
2017-03-09,1146.0,11065.0,8256.0,5322.0,1074.0,908.0,2268.0
2017-03-10,1702.0,29652.0,9316.0,761.0,817.0,1115.0,3594.0
2017-03-11,0.0,253.0,4626.0,1431.0,460.0,461.0,206.0
2017-03-12,369.0,3028.0,5800.0,1469.0,841.0,499.0,2339.0
2017-03-13,82.0,5611.0,16079.0,303.0,1912.0,1701.0,1976.0
2017-03-14,2376.0,0.0,12264.0,0.0,1577.0,2456.0,5046.0
2017-03-15,680.0,9089.0,4181.0,0.0,1674.0,876.0,2847.0
2017-03-16,1441.0,5828.0,6442.0,1072.0,402.0,452.0,2017.0
2017-03-17,276.0,884.0,4374.0,634.0,2747.0,3215.0,1785.0
2017-03-18,319.0,498.0,6098.0,2046.0,236.0,452.0,3522.0
2017-03-19,986.0,422.0,6543.0,12576.0,465.0,2099.0,1230.0
2017-03-20,2147.0,2343.0,10461.0,797.0,317.0,1233.0,2159.0
2017-03-21,246.0,3989.0,12305.0,2619.0,2240.0,91.0,815.0
2017-03-22,140.0,3860.0,13150.0,5842.0,1073.0,2617.0,1303.0
2017-03-23,1226.0,3766.0,2824.0,3081.0,117.0,1389.0,1311.0
2017-03-24,2114.0,4894.0,6934.0,1147.0,335.0,5092.0,646.0
2017-03-25,951.0,2832.0,5716.0,1626.0,1204.0,1057.0,2344.0
2017-03-26,3819.0,6269.0,8480.0,2412.0,1213.0,696.0,885.0
2017-03-27,1386.0,1110.0,10882.0,0.0,594.0,979.0,1669.0
2017-03-28,432.0,5024.0,18317.0,1197.0,975.0,668.0,2820.0
2017-03-29,1906.0,5972.0,8222.0,5368.0,1828.0,870.0,323.0
2017-03-30,734.0,12358.0,6315.0,1479.0,1587.0,3183.0,1305.0
2017-03-31,363.0,3807.0,7860.0,797.0,930.0,152.0,636.0
2017-04-01,197.0,276.0,1936.0,1234.0,329.0,1505.0,2839.0
2017-04-02,0.0,1488.0,2286.0,1584.0,784.0,0.0,1318.0
2017-04-03,986.0,415.0,7850.0,1796.0,2198.0,667.0,2187.0
2017-04-04,1934.0,861.0,12846.0,1537.0,338.0,651.0,2154.0
2017-04-05,1480.0,1219.0,6343.0,1898.0,770.0,0.0,795.0
2017-04-06,841.0,5821.0,1239.0,742.0,510.0,0.0,2277.0
2017-04-07,613.0,3752.0,10894.0,2942.0,0.0,2106.0,2645.0
2017-04-08,304.0,2123.0,7084.0,825.0,0.0,1216.0,601.0
2017-04-09,172.0,1181.0,1879.0,0.0,527.0,381.0,479.0
2017-04-10,1125.0,4297.0,6986.0,1636.0,373.0,636.0,1109.0
2017-04-11,482.0,1220.0,9431.0,2113.0,1095.0,2407.0,671.0
2017-04-12,322.0,48.0,4506.0,15187.0,347.0,0.0,2359.0
2017-04-13,1744.0,225.0,5352.0,305.0,2465.0,2017.0,763.0
2017-04-14,1604.0,1599.0,3139.0,0.0,330.0,0.0,770.0
2017-04-15,235.0,460.0,2464.0,1457.0,866.0,75.0,1727.0
2017-04-16,1319.0,4631.0,5612.0,1434.0,2787.0,1673.0,487.0
2017-04-17,0.0,3768.0,12236.0,3253.0,0.0,0.0,4585.0
2017-04-18,350.0,5528.0,11952.0,0.0,552.0,1173.0,6143.0
2017-04-19,1494.0,6885.0,5067.0,0.0,2235.0,0.0,1443.0
2017-04-20,374.0,10441.0,9019.0,2743.0,113.0,1178.0,2365.0
2017-04-21,637.0,5495.0,11142.0,1059.0,0.0,87.0,2716.0
2017-04-22,293.0,2829.0,12286.0,1791.0,2732.0,0.0,1799.0
2017-04-23,0.0,5600.0,11049.0,4113.0,2676.0,3599.0,973.0
2017-04-24,477.0,5552.0,7658.0,2143.0,751.0,2866.0,2967.0
2017-04-25,1065.0,3502.0,6613.0,971.0,288.0,1981.0,982.0
2017-04-26,0.0,377.0,5181.0,721.0,634.0,728.0,2116.0
2017-04-27,1402.0,9092.0,6966.0,806.0,105.0,535.0,1380.0
2017-04-28,0.0,2472.0,15495.0,574.0,2292.0,1352.0,11207.0
2017-04-29,1587.0,354.0,6976.0,2501.0,2116.0,2041.0,2993.0
2017-04-30,641.0,3713.0,5045.0,502.0,1158.0,1815.0,2221.0
2017-05-01,0.0,5070.0,7883.0,2402.0,3128.0,0.0,589.0
2017-05-02,2233.0,3293.0,6498.0,2428.0,1187.0,164.0,2712.0
2017-05-03,273.0,3152.0,11240.0,1366.0,621.0,135.0,1938.0
2017-05-04,689.0,3250.0,9980.0,3324.0,1045.0,3075.0,2735.0
