date,CDU,CSU,AFD,SPD,GP,LP,FDP
2017-01-01,0,2621,15636,0,0,0,4773
2017-01-02,2269,37776,2778,1691,1844,0,579
2017-01-03,0,7767,2813,218,306,1760,103
2017-01-04,73,1521,401,2020,373,3337,529
2017-01-05,1024,2734,3370,441,0,0,194
2017-01-06,278,347,3811,592,167,0,3496
2017-01-07,55,94,1539,393,197,0,430
2017-01-08,471,0,4198,101,0,1148,0
2017-01-09,394,866,2142,397,66,1186,95
2017-01-10,1104,1223,4534,252,223,0,448
2017-01-11,0,453,106,367,1307,0,32
2017-01-12,331,3531,2641,142,311,644,103
2017-01-13,218,6,1541,2268,1801,184,148
2017-01-14,164,40,4128,107,219,714,0
2017-01-15,134,115,464,143,0,3613,0
2017-01-16,236,734,1093,609,107,752,423
2017-01-17,265,71,891,2278,67,51,73
2017-01-18,817,5568,2042,2672,3330,941,242
2017-01-19,294,70,368,1004,472,288,172
2017-01-20,496,967,125,847,835,837,152
2017-01-21,165,49,998,706,1357,705,0
2017-01-22,0,66,0,579,0,6,378
2017-01-23,26,140,25,336,1485,273,813
2017-01-24,163,376,75,113,649,328,451
2017-01-25,173,384,518,972,1484,0,242
2017-01-26,309,2997,1403,2002,54,1026,125
2017-01-27,336,60,461,3467,590,822,62
2017-01-28,0,161,707,872,0,69,97
2017-01-29,0,0,1208,4802,1406,16,26
2017-01-30,26,191,611,1084,1808,250,448
2017-01-31,0,198,687,272,505,1303,228
2017-02-01,36,2019,1019,371,67,140,96
2017-02-02,198,105,403,183,258,50,394
2017-02-03,537,140,602,334,85,277,66
2017-02-04,231,45,1300,352,3084,0,355
2017-02-05,324,1326,0,131,0,297,344
2017-02-06,97,996,1094,168,1363,793,499
2017-02-07,20,130,705,0,0,0,168
2017-02-08,425,139,452,1083,223,1643,40
2017-02-09,184,294,1059,8,165,197,334
2017-02-10,863,186,950,422,181,132,316
2017-02-11,0,31,252,0,1195,51,326
2017-02-12,0,10,2127,1714,6116,1044,208
2017-02-13,63,820,581,235,60,10,51
2017-02-14,24,273,517,104,105,147,62
2017-02-15,0,922,1653,29,968,102,541
2017-02-16,315,541,566,105,204,1552,1412
2017-02-17,349,76,276,246,77,3972,249
2017-02-18,0,2100,284,55,371,27,23
2017-02-19,0,175,486,269,1095,183,111
2017-02-20,58,2093,351,336,118,386,982
2017-02-21,1378,9818,288,535,253,0,210
2017-02-22,196,148,2490,163,76,488,148
2017-02-23,166,3827,2521,106,50,100,885
2017-02-24,33,786,488,354,351,145,396
2017-02-25,0,25,208,261,40,84,186
2017-02-26,0,442,604,204,0,0,237
2017-02-27,482,477,358,70,394,37,206
2017-02-28,576,647,634,636,528,443,844
2017-03-01,308,853,352,219,144,358,206
2017-03-02,507,135,435,328,478,2025,804
2017-03-03,81,2110,1779,44,174,455,458
2017-03-04,78,269,271,176,77,31,31
2017-03-05,87,7,0,92,277,232,4
2017-03-06,37,763,598,98,953,84,835
2017-03-07,136,1551,550,1018,389,70,115
2017-03-08,54,117,102,151,281,429,1305
2017-03-09,182,1437,681,1850,233,176,314
2017-03-10,561,7354,568,48,180,204,1530
2017-03-11,0,10,255,132,66,78,4
2017-03-12,38,347,422,189,76,84,384
2017-03-13,5,514,1191,25,838,408,408
2017-03-14,854,0,971,0,358,512,2668
2017-03-15,64,560,278,0,316,130,318
2017-03-16,200,422,330,119,31,34,178
2017-03-17,30,74,209,38,893,1118,342
2017-03-18,31,32,655,248,23,69,956
2017-03-19,172,29,242,4474,75,424,231
2017-03-20,264,88,506,65,20,195,284
2017-03-21,16,296,1754,472,362,3,49
2017-03-22,16,405,680,1082,147,586,83
2017-03-23,351,255,133,526,8,246,89
2017-03-24,305,399,182,84,98,2035,117
2017-03-25,95,266,205,125,276,173,148
2017-03-26,851,491,708,216,390,75,65
2017-03-27,180,20,541,0,207,188,134
2017-03-28,20,350,2616,190,158,58,331
2017-03-29,235,323,220,2123,230,155,15
2017-03-30,85,2614,194,194,289,841,108
2017-03-31,36,388,489,38,115,16,103
2017-04-01,11,12,62,111,28,209,536
2017-04-02,0,75,78,100,141,0,192
2017-04-03,102,35,386,241,481,82,227
2017-04-04,486,100,1898,183,44,146,234
2017-04-05,333,49,137,347,95,0,96
2017-04-06,110,443,38,37,89,0,327
2017-04-07,152,322,1046,418,0,621,447
2017-04-08,18,166,1223,73,0,240,55
2017-04-09,7,72,48,0,92,106,30
2017-04-10,88,435,341,157,26,61,105
2017-04-11,42,43,268,518,197,687,67
2017-04-12,30,0,126,8671,25,0,368
2017-04-13,441,5,225,34,605,365,77
2017-04-14,597,136,177,0,28,0,71
2017-04-15,13,28,124,217,93,8,278
2017-04-16,144,623,296,51,776,486,42
2017-04-17,0,355,1331,1313,0,0,1547
2017-04-18,26,609,920,0,68,174,1397
2017-04-19,136,1571,232,0,576,0,120
2017-04-20,29,1739,671,380,11,278,268
2017-04-21,50,711,1636,93,0,5,514
2017-04-22,25,137,3466,220,576,0,233
2017-04-23,0,538,1619,433,384,1297,94
2017-04-24,28,565,366,279,163,582,374
2017-04-25,102,178,286,55,18,416,112
2017-04-26,0,15,222,56,60,58,693
2017-04-27,186,532,291,38,14,57,143
2017-04-28,0,180,975,45,372,230,2490
2017-04-29,300,10,402,537,745,282,189
2017-04-30,101,241,211,24,147,673,267
2017-05-01,0,314,293,340,398,0,49
2017-05-02,268,456,314,229,176,30,443
2017-05-03,14,207,464,74,55,17,215
2017-05-04,44,385,312,441,95,1071,407
2017-05-05,0,339,170,20,567,222,117
2017-05-06,139,428,100,18,375,0,104
2017-05-07,1009,931,581,1170,501,237,725
2017-05-08,125,36,169,406,0,2512,356
2017-05-09,0,73,383,140,38,80,74
2017-05-10,195,66,140,138,426,560,719
2017-05-11,38,901,95,76,199,17,403
2017-05-12,118,77,403,61,92,65,171
2017-05-13,75,10,331,450,257,251,153
2017-05-14,792,336,1382,394,88,527,3035
2017-05-15,250,44,1032,0,0,997,573
2017-05-16,42,128,313,66,241,62,332
2017-05-17,42,71,603,337,529,2583,1656
2017-05-18,153,25,630,294,401,205,160
2017-05-19,280,352,834,613,34,1687,321
2017-05-20,0,50,141,0,11,28,64
2017-05-21,0,26,298,0,810,85,45
2017-05-22,28,27,142,90,281,1755,216
2017-05-23,28,98,1990,207,0,666,161
2017-05-24,81,81,314,73,148,0,184
2017-05-25,90,70,455,136,402,59,189
2017-05-26,27,31,349,880,19,54,803
2017-05-27,0,6,246,183,271,24,110
2017-05-28,309,797,494,48,0,38,310
2017-05-29,9,33,314,176,62,392,684
2017-05-30,0,3,319,200,19,1,135
2017-05-31,107,116,248,74,130,521,174
2017-06-01,83,674,461,123,423,2733,120
2017-06-02,404,1189,1105,78,496,113,146
2017-06-03,104,14,37,130,270,24,236
2017-06-04,144,272,558,81,173,0,6
2017-06-05,0,34,357,153,16,16,116
2017-06-06,109,14,582,18,143,21,94
2017-06-07,64,185,189,274,74,11,527
2017-06-08,62,0,83,376,39,23,28
2017-06-09,30,84,686,212,55,404,175
2017-06-10,79,4320,346,751,50,1005,63
2017-06-11,0,26,130,63,30,1519,357
2017-06-12,185,182,0,48,11,1233,46
2017-06-13,13,5,69,85,35,163,129
2017-06-14,103,72,118,0,98,85,88
2017-06-15,282,57,158,109,417,11,258
2017-06-16,1240,618,991,516,562,48,363
2017-06-17,46,324,664,0,514,41,212
2017-06-18,0,21,27,132,154,15,86
2017-06-19,139,267,286,89,187,72,136
2017-06-20,0,29,380,55,64,778,283
2017-06-21,41,9,1351,161,27,202,75
2017-06-22,169,15,682,156,112,1076,438
2017-06-23,33,10,374,146,16,460,661
2017-06-24,107,85,289,28,189,32,107
2017-06-25,895,45,197,956,150,1760,66
2017-06-26,188,267,126,274,136,210,150
2017-06-27,249,32,771,7516,4578,509,317
2017-06-28,376,78,989,138,0,36,24
2017-06-29,96,1818,2311,1196,962,643,574
2017-06-30,203,48,914,504,2049,1971,1491
2017-07-01,233,1055,61,99,39,739,33
2017-07-02,101,161,255,39,138,27,237
2017-07-03,493,718,685,84,107,47,275
2017-07-04,284,73,246,798,0,444,88
2017-07-05,119,5,472,116,208,451,159
2017-07-06,1845,2668,356,579,18,749,90
2017-07-07,0,2013,1059,408,371,22,1123
2017-07-08,79,41,735,990,324,574,1101
2017-07-09,0,306,539,0,98,119,108
2017-07-10,33,635,544,261,54,91,604
2017-07-11,55,35,316,161,0,52,950
2017-07-12,39,109,553,157,30,46,954
2017-07-13,438,0,578,247,17,481,61
2017-07-14,194,369,683,258,20,154,1222
2017-07-15,319,43,448,87,10,108,305
2017-07-16,202,233,1203,513,39,0,380
2017-07-17,3389,1399,480,581,99,382,1510
2017-07-18,68,352,390,191,27,512,570
2017-07-19,19,104,155,156,993,2333,181
2017-07-20,349,2137,352,155,0,20,92
2017-07-21,20,36,805,92,228,1116,467
2017-07-22,0,136,617,1361,394,510,62
2017-07-23,275,293,174,587,0,0,22
2017-07-24,61,372,422,420,76,101,119
2017-07-25,112,142,1002,0,0,650,645
2017-07-26,11,2307,571,2968,94,4,213
2017-07-27,92,1271,367,118,55,253,51
2017-07-28,218,29,579,0,49,80,250
2017-07-29,61,65,186,13,249,0,36
2017-07-30,146,188,101,42,0,201,54
2017-07-31,0,327,737,15,34,153,157
2017-08-01,67,299,71,135,278,26,44
2017-08-02,38,15,443,511,346,59,564
2017-08-03,60,96,346,460,136,262,369
2017-08-04,196,88,174,315,86,432,507
2017-08-05,0,36,104,0,78,230,52
2017-08-06,120,2,314,3751,24,52,39
2017-08-07,98,283,992,109,78,563,793
2017-08-08,28,1343,168,1456,283,213,213
2017-08-09,88,607,236,8494,106,19,141
2017-08-10,35,1403,260,49,126,191,1248
2017-08-11,352,160,38,1385,20,40,251
2017-08-12,236,259,34,474,22,114,90
2017-08-13,36,115,165,2648,65,95,1362
2017-08-14,108,467,673,407,256,857,644
2017-08-15,68,49,3056,116,209,114,270
2017-08-16,124,564,345,216,314,44,531
2017-08-17,620,839,1431,930,414,653,171
2017-08-18,413,0,489,115,1715,105,599
2017-08-19,31,11,1505,1261,0,34,309
2017-08-20,97,372,769,1144,94,1278,572
2017-08-21,607,111,369,632,49,40,73
2017-08-22,274,176,1307,756,24,546,1163
2017-08-23,58,217,324,2420,10556,154,764
2017-08-24,256,398,865,2469,593,81,282
2017-08-25,909,80,580,4232,0,606,900
2017-08-26,64,39,127,272,258,50,740
2017-08-27,565,19,1599,324,455,6475,827
2017-08-28,189,82,6799,242,817,302,2001
2017-08-29,306,398,1384,808,380,127,1320
2017-08-30,431,690,3393,283,383,669,558
2017-08-31,121,260,1401,104,888,111,116
2017-09-01,537,70,2302,66,146,1812,239
2017-09-02,296,11,189,110,88,216,2032
2017-09-03,1283,2429,2707,16530,551,1030,1506
2017-09-04,89,363,816,785,1918,910,653
2017-09-05,296,4886,2911,33,23,9815,400
2017-09-06,250,1422,2958,230,197,1916,166
2017-09-07,440,613,1030,737,121,430,395
2017-09-08,122,781,5522,1150,767,652,394
2017-09-09,1372,31,424,823,33,786,1656
2017-09-10,132,38,1393,1905,362,3563,920
2017-09-11,374,277,1254,1039,289,59,181
2017-09-12,241,108,1060,1826,2513,1279,224
2017-09-13,645,129,1062,933,644,1465,866
2017-09-14,894,104,1639,544,93,1889,3150
2017-09-15,387,377,3867,638,56,503,971
2017-09-16,353,393,5958,323,674,1463,640
2017-09-17,760,66,2543,428,4151,474,2419
2017-09-18,1371,665,1393,229,929,111,1001
2017-09-19,1408,324,2074,184,421,1833,2231
