date,CDU,CSU,AFD,SPD,GP,LP,FDP
2017-01-01,0,2,3,0,0,0,2
2017-01-02,3,3,1,2,1,0,3
2017-01-03,0,3,2,1,1,1,1
2017-01-04,1,3,1,3,1,1,4
2017-01-05,3,4,2,2,0,0,3
2017-01-06,2,2,1,1,2,0,6
2017-01-07,1,1,2,2,2,0,2
2017-01-08,1,0,1,1,0,1,0
2017-01-09,2,3,2,2,1,1,2
2017-01-10,3,3,2,2,2,0,3
2017-01-11,0,1,1,3,1,0,2
2017-01-12,4,4,2,1,1,1,3
2017-01-13,4,1,2,3,2,1,3
2017-01-14,2,1,2,1,1,1,0
2017-01-15,1,3,2,1,0,1,0
2017-01-16,1,1,1,4,1,1,3
2017-01-17,2,1,2,3,1,1,3
2017-01-18,3,1,2,3,4,2,4
2017-01-19,1,1,1,2,1,1,2
2017-01-20,3,2,1,3,1,2,2
2017-01-21,2,1,1,2,2,2,0
2017-01-22,0,1,0,3,0,1,1
2017-01-23,1,1,1,2,1,1,2
2017-01-24,4,1,1,1,1,1,3
2017-01-25,2,3,2,2,1,0,3
2017-01-26,2,2,2,4,1,2,2
2017-01-27,2,1,1,3,1,1,3
2017-01-28,0,1,2,2,0,1,3
2017-01-29,0,0,3,5,1,1,1
2017-01-30,1,3,1,2,3,1,2
2017-01-31,0,2,2,2,1,1,2
2017-02-01,1,2,3,1,1,1,3
2017-02-02,4,1,2,2,1,1,4
2017-02-03,4,1,3,2,1,1,2
2017-02-04,2,1,2,1,2,0,3
2017-02-05,4,4,0,1,0,1,3
2017-02-06,4,3,4,1,2,2,3
2017-02-07,2,2,3,0,0,0,3
2017-02-08,3,1,2,2,2,2,2
2017-02-09,2,3,3,1,1,2,4
2017-02-10,4,2,2,2,2,2,3
2017-02-11,0,1,2,0,2,1,2
2017-02-12,0,1,3,1,3,2,7
2017-02-13,1,2,2,1,1,1,3
2017-02-14,1,3,3,2,2,2,2
2017-02-15,0,2,3,2,3,1,3
2017-02-16,2,2,1,2,2,1,3
2017-02-17,1,3,2,2,2,2,3
2017-02-18,0,2,2,1,2,2,1
2017-02-19,0,2,2,2,1,1,1
2017-02-20,2,3,2,3,1,1,3
2017-02-21,3,3,1,2,1,0,3
2017-02-22,4,1,2,2,1,1,3
2017-02-23,3,2,3,1,2,1,3
2017-02-24,1,1,2,1,2,2,2
2017-02-25,0,1,1,2,1,2,2
2017-02-26,0,1,1,1,0,0,2
2017-02-27,2,3,2,1,2,1,2
2017-02-28,1,5,3,1,2,3,2
2017-03-01,1,8,2,2,2,3,3
2017-03-02,3,2,3,2,2,2,4
2017-03-03,2,1,2,1,2,2,3
2017-03-04,2,2,1,2,2,1,2
2017-03-05,1,1,0,1,3,1,1
2017-03-06,3,3,4,2,2,1,2
2017-03-07,2,2,2,1,2,2,3
2017-03-08,2,2,2,4,3,2,3
2017-03-09,2,2,2,2,2,1,4
2017-03-10,3,4,2,2,2,2,2
2017-03-11,0,1,2,2,1,2,2
2017-03-12,1,1,1,2,2,1,3
2017-03-13,1,2,3,1,1,1,4
2017-03-14,3,0,3,0,3,1,3
2017-03-15,2,3,2,0,1,1,4
2017-03-16,2,2,3,1,1,1,3
2017-03-17,1,1,2,1,4,2,3
2017-03-18,1,1,2,2,1,1,3
2017-03-19,2,2,2,4,1,1,2
2017-03-20,5,2,3,1,1,1,3
2017-03-21,2,1,4,2,4,1,2
2017-03-22,1,2,4,4,2,1,5
2017-03-23,1,2,2,2,2,1,4
2017-03-24,4,2,3,3,1,2,2
2017-03-25,2,2,3,2,2,1,5
2017-03-26,3,4,2,2,3,1,2
2017-03-27,2,2,3,0,1,1,3
2017-03-28,2,2,3,1,2,1,3
2017-03-29,4,4,4,2,4,1,1
2017-03-30,1,2,3,2,2,1,2
2017-03-31,1,3,3,1,2,1,3
2017-04-01,1,1,2,2,1,1,2
2017-04-02,0,2,1,2,1,0,1
2017-04-03,2,2,3,2,3,1,3
2017-04-04,6,2,2,2,2,1,2
2017-04-05,1,3,3,2,1,0,2
2017-04-06,2,3,1,2,1,0,2
2017-04-07,2,2,3,3,0,2,3
2017-04-08,1,2,2,1,0,1,2
2017-04-09,1,1,2,0,1,1,1
2017-04-10,3,3,2,2,1,1,3
2017-04-11,1,2,4,1,2,2,2
2017-04-12,1,1,2,4,1,0,3
2017-04-13,2,1,3,1,4,1,2
2017-04-14,1,1,1,0,1,0,2
2017-04-15,1,1,1,1,2,1,1
2017-04-16,2,2,2,3,3,1,1
2017-04-17,0,3,2,1,0,0,2
2017-04-18,1,2,4,0,1,1,3
2017-04-19,4,2,3,0,1,0,2
2017-04-20,1,2,3,2,1,1,4
2017-04-21,2,1,3,2,0,1,2
2017-04-22,1,3,4,1,3,0,2
2017-04-23,0,2,4,2,3,2,2
2017-04-24,2,4,3,2,1,2,4
2017-04-25,4,1,3,2,1,2,3
2017-04-26,0,2,3,1,3,1,3
2017-04-27,3,3,3,2,1,1,3
2017-04-28,0,1,4,1,9,1,16
2017-04-29,2,1,2,2,1,1,7
2017-04-30,1,2,2,2,2,1,4
2017-05-01,0,2,3,2,5,0,1
2017-05-02,4,2,2,2,3,1,2
2017-05-03,2,3,3,2,2,1,2
2017-05-04,2,3,4,2,3,1,3
2017-05-05,0,4,3,2,3,1,3
2017-05-06,2,5,2,1,2,0,3
2017-05-07,5,3,3,3,2,2,5
2017-05-08,1,3,2,2,0,2,4
2017-05-09,0,2,5,2,2,1,4
2017-05-10,3,5,3,3,2,1,4
2017-05-11,2,3,4,1,3,1,3
2017-05-12,2,2,2,1,2,1,3
2017-05-13,3,1,5,3,2,1,2
2017-05-14,3,4,4,6,2,2,4
2017-05-15,2,2,4,0,0,1,3
2017-05-16,2,1,2,1,2,1,3
2017-05-17,4,1,3,1,2,1,4
2017-05-18,4,2,4,1,3,1,2
2017-05-19,1,2,8,2,1,2,2
2017-05-20,0,3,4,0,1,1,2
2017-05-21,0,3,2,0,1,1,1
2017-05-22,2,2,2,2,3,1,3
2017-05-23,1,2,3,3,0,1,4
2017-05-24,2,2,2,1,2,0,3
2017-05-25,1,3,2,2,2,1,2
2017-05-26,1,1,3,1,1,1,2
2017-05-27,0,1,2,2,2,1,1
2017-05-28,1,3,3,1,0,1,1
2017-05-29,1,2,3,2,2,1,3
2017-05-30,0,1,2,2,1,1,3
2017-05-31,2,3,3,2,1,1,3
2017-06-01,3,3,4,2,3,2,3
2017-06-02,4,2,5,2,2,1,2
2017-06-03,1,1,2,1,3,1,2
2017-06-04,2,2,2,1,1,0,1
