date,CDU,CSU,AFD,SPD,GP,LP,FDP
2017-01-01,0.0,268.0,4597.0,0.0,0.0,0.0,83.0
2017-01-02,458.0,5804.0,1614.0,579.0,238.0,0.0,385.0
2017-01-03,0.0,2391.0,1129.0,62.0,50.0,0.0,91.0
2017-01-04,0.0,634.0,735.0,1266.0,284.0,1022.0,255.0
2017-01-05,436.0,1256.0,6433.0,216.0,0.0,0.0,197.0
2017-01-06,136.0,212.0,1541.0,0.0,32.0,0.0,1679.0
2017-01-07,0.0,25.0,2836.0,197.0,29.0,0.0,176.0
2017-01-08,130.0,0.0,4487.0,71.0,0.0,0.0,0.0
2017-01-09,19.0,600.0,4169.0,65.0,24.0,422.0,89.0
2017-01-10,456.0,522.0,5023.0,0.0,114.0,0.0,451.0
2017-01-11,0.0,182.0,1.0,288.0,481.0,0.0,42.0
2017-01-12,147.0,2179.0,3876.0,75.0,124.0,0.0,74.0
2017-01-13,16.0,0.0,2638.0,1036.0,1060.0,65.0,217.0
2017-01-14,1.0,17.0,5678.0,145.0,144.0,392.0,0.0
2017-01-15,48.0,54.0,968.0,0.0,0.0,1310.0,0.0
2017-01-16,131.0,457.0,1403.0,560.0,60.0,528.0,189.0
2017-01-17,104.0,51.0,790.0,789.0,130.0,0.0,94.0
2017-01-18,144.0,2974.0,4260.0,1364.0,1877.0,440.0,117.0
2017-01-19,130.0,59.0,1808.0,425.0,385.0,228.0,104.0
2017-01-20,511.0,535.0,834.0,872.0,598.0,508.0,59.0
2017-01-21,164.0,27.0,601.0,465.0,1470.0,251.0,0.0
2017-01-22,0.0,72.0,0.0,280.0,0.0,0.0,163.0
2017-01-23,57.0,240.0,101.0,418.0,3264.0,368.0,329.0
2017-01-24,26.0,0.0,491.0,167.0,118.0,106.0,91.0
2017-01-25,93.0,376.0,1572.0,331.0,2925.0,0.0,128.0
2017-01-26,326.0,777.0,9122.0,1015.0,0.0,628.0,54.0
2017-01-27,308.0,89.0,1773.0,1517.0,935.0,673.0,64.0
2017-01-28,0.0,94.0,1091.0,198.0,0.0,113.0,187.0
2017-01-29,0.0,0.0,2810.0,1746.0,0.0,10.0,18.0
2017-01-30,14.0,65.0,3687.0,408.0,1247.0,240.0,348.0
2017-01-31,0.0,242.0,869.0,337.0,581.0,547.0,176.0
2017-02-01,32.0,3002.0,4327.0,598.0,0.0,127.0,157.0
2017-02-02,93.0,65.0,2163.0,378.0,342.0,55.0,296.0
2017-02-03,0.0,193.0,3390.0,222.0,0.0,449.0,42.0
2017-02-04,194.0,19.0,2140.0,296.0,1825.0,0.0,198.0
2017-02-05,84.0,2167.0,0.0,137.0,0.0,216.0,301.0
2017-02-06,56.0,407.0,2632.0,124.0,811.0,280.0,353.0
2017-02-07,52.0,97.0,3693.0,0.0,0.0,0.0,85.0
2017-02-08,65.0,36.0,617.0,561.0,0.0,590.0,49.0
2017-02-09,258.0,270.0,5000.0,27.0,369.0,36.0,180.0
2017-02-10,480.0,211.0,2893.0,883.0,490.0,50.0,290.0
2017-02-11,0.0,13.0,1609.0,0.0,855.0,0.0,209.0
2017-02-12,0.0,9.0,8000.0,1131.0,965.0,573.0,86.0
2017-02-13,67.0,1858.0,890.0,271.0,124.0,34.0,11.0
2017-02-14,34.0,394.0,3449.0,171.0,0.0,104.0,191.0
2017-02-15,0.0,506.0,6615.0,103.0,529.0,110.0,455.0
2017-02-16,208.0,544.0,5951.0,234.0,715.0,1395.0,1700.0
2017-02-17,0.0,71.0,0.0,366.0,0.0,2994.0,314.0
2017-02-18,0.0,1630.0,1406.0,72.0,220.0,47.0,94.0
2017-02-19,0.0,108.0,1.0,72.0,760.0,276.0,0.0
2017-02-20,17.0,1770.0,3237.0,384.0,0.0,420.0,668.0
2017-02-21,1376.0,2473.0,966.0,935.0,857.0,0.0,177.0
2017-02-22,132.0,394.0,4334.0,278.0,328.0,450.0,150.0
2017-02-23,270.0,3192.0,6876.0,125.0,103.0,177.0,393.0
2017-02-24,41.0,1350.0,1204.0,388.0,423.0,249.0,323.0
2017-02-25,0.0,23.0,0.0,272.0,0.0,99.0,161.0
